repo,commit_hash
qtbase,016633931f708f6495874a8722c7aae657e37438
qtdeclarative,01f76d21d184a0561707815df8f15bd2f7e84191
qtmultimedia,025f4d2ee1cdc4a68e880854584f9bef0980b630
qtbase,02d75eaaf9f2e4984f39b1e081e841966d1dde0c
qtbase,0441b2d4c332e0ae6e5ca52878985b826e8f68ca
qtdeclarative,04774bb14c81688f86a2b31b8624bde8ebf59062
qtbase,053676a80e6fd3d415fd1915968b22bd5fb87704
qtdeclarative,0592e17e18e26acc177bc7556a3c9888582f0045
qtdeclarative,080af75aca6511f4a9408b38cd092283211c9422
qtdeclarative,08566134e96971a8e8552a10ca7d6f31fca8a618
qtbase,08c1cb5c5a7da849dbd8a1f5020da69e8ebc7c70
qtbase,0bbc32a0cb3b71012a9245b84f69cdc8405ce5fc
qtbase,0c645f1345d88b7c2bc2bdc77ef599b60ba3be7a
qtbase,0d308c4111f7cd322ed4a07e04b83c20e923e06a
qtbase,0e548b585695f4bcfaaccf289da8124c851d6d94
qtbase,0f31a5d91f13bd6a574bed8db894a7ebb2813292
qtdeclarative,0fd993ac57dd35a286fb83c97196d3d27d1d3622
qtbase,12bd604f241d41d52ab3fde9f4a8f4f5c2f3fa6d
qtdeclarative,1512835ee1425a3e874d2f2dd2b01f1a1ea7b763
qtbase,153d613353863987322db81f3c31e33541ef7226
qtbase,15da0a5af20fe6771bcb94ef8d46edbd5c8fb64c
qtbase,16548ce85ee29ad57f6948b262ce0dbcc99ab46d
qtdeclarative,16f92ad85cf665d863ded5eeaaa7fc3f90820b3f
qtlocation,1925ba8da6fd9c93dcea3636af527d30ffea3d2e
qtbase,1a334f8135d4be7b73b39ac736af0e722c864e83
qtbase,1a52819c70306d5af7a10c0841eb0e5a625656a5
qtbase,2122e731abdb619249df89642c0800640b2fa428
qtdeclarative,220b264acc6bf1823bd06f99ebdbee352ff57e3a
qtlocation,223a169d92502ae6643e0e691f7e78f1a9d18c67
qtdeclarative,22c138abfce871a1d23f1cf1b98b448bcd3ec74f
qtbase,23a372ab8d59cd9b33356a16744313890b544f4f
qtbase,25d5b2e07bbf811ae50e4a690fa3e5412d2ca1bb
qtdeclarative,270f4a7d6421b134b26b1aa10e6604b38689d638
qtdeclarative,284b57aef7a2f9fc2336c20d2929babb7dbd0262
qtbase,28ee554b37be39c03c231e7b857f71163dc6ea73
qtdeclarative,29e0b656e8e2854146ce81e44d377c475aeb6152
qtbase,2b5dcfcee118265ef7930cc7c5c16bff22d580fd
qtserialport,2bcac223e64599eb74889975053f6547000b13cb
qtbase,2c11a492fb067cf00ae298a6e2c8af4f10d21e18
qtbase,2ccd34fd20b72a1cd4125d67dd206d4f968a1b5d
qtbase,2e02aaf24c7803b672cdf815f33f3ecd48d98822
qtmultimedia,2ebea05283a2ddad831d5039a49817cefb7c7625
qtdeclarative,2ec0df06aa61d23a1a7ad5bdf87c772f376259b7
qtbase,3168c94577cc604fd033ce4e741da5c411f74666
qtbase,318a274381c441b13ce67517cad3fd74985c73a8
qtdeclarative,326ed5767e5d09ed3bf2177d5de17d4e07edf226
qtlocation,32712d70bbab3b703f614ca5b77e5d3b0cf3f74c
qtbase,3280b919855dae6de4319450ff352d1c493649a9
qtdeclarative,36767e3fe1f0038441ae06ef5b5e1cb19a3738fa
qtbase,36b3a6ad3818b6c8d0849d5e5d63de22c2a2a430
qtlocation,377262a1fe43dc0b0d2f0d4c807488f347187655
qtbase,37ca2224eca671200a2710f57f970d2993e62aa5
qtdeclarative,39540124dd0900e0c99dcda8c0ebdf4f3cea8d5e
qtdeclarative,398e27f8907362b598fe1dfe2ecbf76bcbe530c4
qtbase,39e06078258393f28c3def96326c26c55e450844
qtbase,3a77bbe68b087890fe966035eeb12b917b087c15
qtmultimedia,3c4dcf00bb9922ed83f1defcd52092857da5103e
qtbase,3dc634be36326bc5e60f3baa4c5b8904e22347f2
qtbase,3f311a5b3aac70d9dc7072ef78e14f81a2a65253
qtwebkit,3f5a0c1161d18c4f1b17bc2cb0093b03b72ac772
qtbase,3f75fb8d8f25af5b79b71ae74f453a2b220a11ce
qtdeclarative,3fff5e654e1b39844deae43cf5b211c2f196227f
qtdeclarative,406d6d33a6c0c5f99dfa31e2eb681b1fefcd5fe0
qtdeclarative,40864ee84e41d53c412dd1b350624dcde07b009a
qtbase,46b78113b22428e6f8540193fcf0e00591dbd724
qtbase,47ce14cf74d673aa3d12f055e42f5fd4acc6ba3a
qtdeclarative,4d3a64c5e65a781acb4acf4ba641456da28bd1e4
qtbase,5031aee9723939052c08adae0d300f6b54a5f010
qtquick1,504ba059df18c524fa8199084791f3b792b2104e
qtactiveqt,551cdaf9512082c1eb85da2992f8b5269d424620
qtbase,5611b66c901867a2ea2855c90454c2267ef197dd
qtbase,583c55b243d9894d93d32fbe15bece2a9beb1d10
qtquick1,58cc5c4e4f98d992a22ddc04d9eebd8033a004f7
qtbase,5933205cfcd73481cb0645fa6183103063fe3e0d
qtbase,5da3f7fb8562077fe57030e762934a273daace36
qtlocation,5f0023a7469e01bada70fbe677b76bb535eaa953
qtserialport,60a508d30c790c7b52f470b15566e171d4c8351c
qtbase,6264bf242a267eff0dde578c64e0442e1924bce3
qtdeclarative,648c80c4c0759efb6e35fac7acc8daad5aab13e2
qtbase,68a9229a97d358639357f76cfb186bb61aa6ce92
qtbase,68dc5b90c04058ff8d940c093528effa80ac7e4a
qtdeclarative,69e925444ecebd352462f742d894b326d4cc9a72
qtdeclarative,6a5b9cb96434b5e36646fdbe66b23d0c6a1bdcd1
qtdeclarative,6afc3be37712416aa56940848aebe7682ad9e88f
qtserialport,6bd56edb87f14074a15fde141d9d6f52d01de366
qtlocation,6c6643b73a451f30f4e7e565110c1f5cd93c7495
