instance_id,crossover_mean,crossover_med,crossover_max
9703,2288615.8386310595,1440161.0222168518,24833025.59835865
23348,1125226.174881989,750165.1006912865,10383894.903577505
25135,1376442.1493619573,1325934.8110941022,6461237.935349734
15814,2168317.0653572213,1506240.459099663,14873796.540850308
1650,1415329.9740372684,1198533.8283036186,11942832.317169735
14991,1469235.5830542822,1140370.3385610369,9171500.176085887
19600,1441576.0234026213,1209237.095267221,9489664.975149501
18392,5379942.5177023895,4209150.385915864,32246069.721263293
4619,4062839.105974125,4183317.092273416,13378574.668080619
361,1594539.901161232,1138562.6604012875,11568621.124755885
25262,1094160.2235150135,829480.389467832,7684374.699473731
17550,1513268.1438554637,1382146.951358505,9603774.99254273
9438,782635.3378658892,457496.70529508765,5443187.399901575
18685,4103035.9094897103,4295293.8244764265,14763056.716853186
10085,1645392.8255290259,1113395.5757710114,15226058.60921294
3138,2680848.465208005,2206408.416564864,20242936.035606667
24429,4789037.541557114,3400310.4435356,27083512.82282069
22437,1169517.0281960147,784249.4962711823,10253768.242413418
17837,1491109.5379192485,1190676.6925355564,10213830.666254826
23962,2999689.7145248204,2247724.034386107,27712419.743101
19154,1467882.8352685326,1115973.8295211724,10226581.736816851
3948,2691418.978848828,1461192.409029014,24268593.98900811
16194,1245197.892336566,786379.3193269006,9911346.268635929
22153,2227989.4399216427,1016843.6106535402,23406021.92476986
9607,10362863.99560886,10717149.884961402,42045337.91826328
1581,3028875.264447319,2961389.4415715635,11102223.624499032
1661,2688732.8510600636,2492113.349965897,10495552.34228736
16968,1076780.76155891,914171.7033609017,6147029.271369623
19968,11009659.429656137,11342909.882084597,32181059.544531796
13646,1246193.6253046943,776017.2313336276,9640708.467919556
12374,1277376.288892777,815540.0968339737,13775728.509685434
5745,2793402.5345159248,2928675.9129855465,9501401.443600707
2428,3319338.897111127,3280387.772510859,17406519.109179456
22615,1674825.8984471841,1127175.3779293045,11528197.764124524
17073,4498947.518167656,4716642.787528096,13329788.665241322
23154,1197982.3623830548,727165.530624707,9370536.378390148
26696,1172371.3012259551,671054.667650675,12450713.823832218
22828,5617763.556783828,3744856.42628044,41825723.427469656
2677,1629265.1744460799,1405681.771818142,9969045.024036057
2112,2983794.9947941895,2940523.384431792,12808414.294208579
1475,1022916.2426822075,695377.9205361349,7527336.3352404935
22667,3691044.560260461,1974526.202929353,28388776.983736336
14989,1590596.9366555333,1102507.124782563,11198810.649929285
2810,17192128.390587665,17978677.87353389,33938029.97412193
8041,7730130.067448146,7787384.917007559,25657643.98171355
5531,1757644.665378358,1589530.1340095797,9333259.976432113
17152,3530202.048730508,3176087.3434237926,22380720.521305498
9016,1592300.3129475485,1256664.2663029984,12045411.224160759
22508,1015924.9699132111,696718.0940140843,8023407.159008658
6665,9592041.638952283,10250596.061876934,26700271.271669056
243,2512611.7857390954,2278974.34224172,14747066.50702767
25831,5757768.569259717,6124069.396972688,20097667.161769573
20955,1086317.2925432967,804265.7981912841,6609343.216878223
10110,1945204.694795349,1543212.1798315044,12128753.925135413
13463,932086.0083890776,469692.0575472702,14722948.047423618
18226,12646715.736139487,13277812.112564985,33954748.73529662
102,14778410.496989008,15644646.927451782,31391306.576115232
21357,14716657.351821594,15571938.502199901,34446384.551289536
21312,1270790.2295589282,839730.6462571931,8406536.975478789
21810,1112636.3959219905,829144.8367558721,8313184.515917658
24792,1570584.0578442833,987288.2449282549,10738815.858113687
24223,1338752.7111638354,816287.774083107,17100886.710696552
9134,1196696.1621591225,805407.016162936,8199580.771710961
20823,5245430.473658103,5519582.0937860375,18411864.50050848
19984,1589129.160622946,926259.6849873277,10311331.639932167
7452,912819.1655977528,690696.6421164641,5876436.486368205
24748,1790644.6159355347,1431482.526698295,14181319.378195958
25242,1350600.0268434144,954899.9695137385,9698717.639664358
512,1772432.809400944,947075.9010939663,17693031.049955647
11408,2111897.732453394,1778847.2702967818,13078367.544984967
8478,1580697.7131651205,867157.3551087526,15604769.375559349
17354,1599001.2740306961,1523568.4486395512,5966855.929861104
2536,8989463.41026275,9441311.82582413,31443253.56168174
