instance_id,crossover_mean,crossover_med,crossover_max
30882,4307865.438342473,4276960.691473001,14590313.244614132
12299,1143103.4192348213,713935.8068209889,13771690.183435215
25902,861485.5647871633,695298.9036489201,3714292.9867704706
8228,1340575.385012922,1269860.6239235774,6594362.374158758
19970,1070931.2953636297,778442.2663488918,6177425.892570847
19894,7783123.359558351,7026867.259322334,29042170.54494532
6301,2692897.276459041,2389712.7807160383,15344757.239918469
4568,3929833.2529371227,3661675.006399073,22668873.801572517
8645,1366967.0803529646,955088.3752845094,8668261.074180977
27290,2335948.481973551,2262012.5987327117,14772504.457261022
26003,912547.9573792602,605265.2110790284,7027494.431557249
9978,1449020.669425189,1043664.0451278877,8561254.739347147
5991,1575789.7543993173,1646437.1262438034,5825431.604925242
22918,6211362.258344776,5954402.160194183,18676544.772795655
22835,4313495.392223586,4377430.692457991,11062122.653266033
7485,2297818.9295577393,2135848.244161375,8774260.908482099
1761,716469.1671206101,545368.1154276852,3945496.880726659
27395,1893020.4765469846,1959703.5000919162,6389489.426710868
11696,2689882.627754266,1895133.8408103634,18911373.439616617
23815,779381.4553316472,607985.1795821851,4012078.727989333
7082,3545307.8543683523,3371475.8520623827,14035485.81292167
31839,5038882.913598709,5148158.156668058,18504585.1213645
30682,3044185.004367436,2805399.9994749073,13481162.35292486
1938,1697078.2491221677,1398036.2562513428,11363425.767170807
20578,1741755.2156266219,1454376.555769028,11435498.308121836
5374,1040010.7456547664,756003.4081316718,7051092.887517453
19855,1150301.172681127,843989.9871752103,7061550.478039173
22111,1385816.145541918,948519.6235355015,9303232.610021802
3380,1566585.8504150438,1202029.0278593507,9849755.478277866
10688,9383345.565760033,10186590.695941925,30800335.380308587
27116,8182211.964881788,7750606.101086032,28724216.717118885
31231,922243.2646228338,637402.7512333652,4770191.55279537
1910,1376195.4567348976,1040316.6282704019,7170011.414338206
17277,2140900.959114685,1414743.072016579,15266753.83361508
28320,1298970.2615618808,1034944.023456387,5300080.676322412
17951,1621370.2771422267,1230655.704376265,10453810.845522044
18669,642524.5725336475,495793.9801075285,3419982.701986162
3435,3869065.607925904,3725819.930408989,16550805.53213003
20409,2364138.712757445,1881797.4208363998,14933341.354480183
16525,3227339.5988310995,3158475.4849905893,12955719.540767998
19453,1574292.7837875404,921416.186453752,12869488.10017216
31678,2277200.4151782882,1988627.7048120522,14511817.678001314
13064,907761.3502635134,680712.0007258432,4642686.601682516
21433,1396776.557344522,890545.0311863085,7494379.297631513
17023,7909384.957914942,8145092.950716591,28258952.272968434
18936,5042122.777366004,5276413.623094823,14938987.684150565
31784,3491870.6141958586,3312660.247434495,16282368.777499458
18345,1518678.513336294,1066834.028367566,11180404.655449262
16830,1240799.4539673883,1160119.4564583465,4776715.714643154
7386,952846.729068709,725183.6317000831,5519018.118166496
26870,1728170.98982587,1399217.8489372917,9591566.441881277
24286,2913059.1288058087,2767071.1141942414,12455188.45280759
11463,1348470.0848847085,945000.8416903358,9517975.405681841
13068,3178762.5156675,3184252.0403717575,10358110.47110028
19434,773311.0815685346,564583.4754461083,3891356.0632166415
7516,2117977.0930964155,1621796.9579716106,13507008.280307038
11191,1590279.01820911,1424182.2557977464,8901887.73433014
30097,3498999.938689547,3042507.955125576,19530671.42575473
20058,1114694.6627308973,996250.8879486092,5455751.803757703
10022,2071019.111658999,2115295.3266751897,7767177.245768724
31897,854004.9349806721,652074.6214822797,4457575.395524462
23612,1279220.6223704284,1207865.5658169184,6882049.4171129465
29550,2437773.109564864,1480654.3053942518,16194888.394467222
1258,1511166.4374005303,1084879.5216628595,8604495.392919319
20677,1792164.1288570839,1340666.5679862602,13345722.244522
6449,986749.0725990081,831879.9575096502,4772969.970059118
3860,1551746.2493200174,1149158.707266187,8963564.226543479
29991,1980325.6465650443,1409172.5953062042,15321439.10951507
14552,1651448.712573402,1333472.228518395,7304585.300813069
18781,1767052.794303843,1375763.268269544,11639965.38672788
14283,3166732.6285474445,2717634.805716505,18060939.215986274
26787,2077053.8113319534,1550510.7218881554,9497259.10843941
22467,4516829.844700641,4393007.038756324,13092047.238774339
25797,2133999.75745076,2039428.8409047842,8732034.228600588
3057,1037670.6451844564,813323.2297687558,5494651.051306199
32045,1820024.1742342939,1226173.7990222014,10800480.084994199
5558,1593214.4609823218,1203030.0407495545,11685203.708774379
12161,971608.3471270608,894615.3175774771,4159981.31937656
15813,1122645.3237802524,886251.4143852729,5470741.99321034
19744,2570661.043380905,2341852.1116071125,11081955.08920107
3944,1338185.5170366843,998207.8079548185,8388216.683439898
19226,1663039.2810352594,1528777.1448478154,6948705.473779138
