instance_id,rand_mean,rand_med,rand_max
30882,6056165.666662491,6056165.681038499,6056169.583950604
12299,491044.5022285582,491044.51643559197,491048.3768462742
25902,705509.1308070758,705509.1418125912,705512.1321304202
8228,1583584.063968718,1583584.0770252163,1583587.6225965465
19970,644530.7243798487,644530.7383389107,644534.5305728125
19894,9159011.12275628,9159011.138273839,9159015.350975057
6301,3016643.789252413,3016643.8045287197,3016647.9521314297
4568,5448471.801105431,5448471.812116376,5448474.8015746735
8645,542094.7570165904,542094.7694596415,542098.1507592188
27290,2559502.5565998782,2559502.569522378,2559506.0782769932
26003,518493.2293262705,518493.2418619449,518496.6484562548
9978,1221970.5548451466,1221970.569052679,1221974.4274062007
5991,2127091.6693412634,2127091.680835756,2127094.802097662
22918,7220585.374581758,7220585.389881614,7220589.543536254
22835,5884468.991526928,5884469.006766167,5884473.144021037
7485,2947835.94058947,2947835.9561593933,2947840.1834795536
1761,155824.3434912184,155824.35464303422,155827.39410321155
27395,2369729.5426595556,2369729.555562811,2369733.059151114
11696,2864017.5485589495,2864017.5610618917,2864020.9558481164
23815,527874.9633386967,527874.9760819863,527878.4389624378
7082,4990437.708968753,4990437.722838147,4990441.48828741
31839,7086196.868727354,7086196.882051229,7086200.499305071
30682,8800555.553655498,8800555.565112319,8800558.675477643
1938,1952048.5516921505,1952048.5651607872,1952052.2223890023
20578,2141354.757167559,2141354.7702411073,2141358.3201388256
5374,523004.6690469143,523004.68300573167,523008.47582485294
19855,1015394.3322476941,1015394.3459625486,1015398.0708850698
22111,1177768.879624707,1177768.8946880521,1177772.9853980883
3380,1100445.9265797895,1100445.9389379157,1100449.2954511228
10688,10912326.39176756,10912326.403332941,10912329.543127721
27116,14210633.25853114,14210633.27245561,14210637.052621601
31231,658960.516242676,658960.5306820278,658964.4532141839
1910,608399.2540874152,608399.2681006962,608403.0752169777
17277,251137.47114567796,251137.48572042357,251141.44940574042
28320,1051756.7932162508,1051756.805820229,1051760.2291455942
17951,1293552.117371287,1293552.1303751639,1293555.6619225503
18669,218899.65012545537,218899.66121779982,218902.6810530766
3435,7433875.818874262,7433875.830359269,7433878.948415695
20409,397356.32387311285,397356.33957267256,397360.60589298175
16525,3944207.2640950773,3944207.2791848043,3944211.3760010838
19453,458673.8209854376,458673.83645260724,458678.0391158545
31678,2511894.621587805,2511894.6327870227,2511897.6737593156
13064,280529.3334653784,280529.3451550597,280532.5251985123
21433,505702.9097745091,505702.922596146,505706.4068940381
17023,15505800.072736228,15505800.083874954,15505803.107796833
18936,6999245.113482918,6999245.126037906,6999248.53457055
31784,3816196.0078260032,3816196.020280552,3816199.4017687747
18345,1126257.265855648,1126257.2788345714,1126260.803819521
16830,1492302.6976921698,1492302.70930639,1492305.8634440338
7386,260892.88011742852,260892.89500820392,260896.9441790052
26870,1406189.6375238206,1406189.650726423,1406193.2361033391
24286,2798688.3069859715,2798688.3187918486,2798691.5243697036
11463,252356.16324885454,252356.17742267478,252360.0322869479
13068,4662790.47493141,4662790.486878943,4662793.730643489
19434,398086.3097401353,398086.32484784845,398090.4305446516
7516,2252132.6002327614,2252132.613594874,2252136.2417822983
11191,1678828.6889711723,1678828.7034962843,1678832.6476552682
30097,4600198.45033419,4600198.465174587,4600202.494243905
20058,1317377.4695220294,1317377.4839264997,1317381.3956306789
10022,2677588.5854072752,2677588.598652187,2677592.1948958067
31897,261420.51910947514,261420.53301631572,261424.31518931943
23612,1593457.5006018719,1593457.5134999289,1593461.0160552394
29550,1659064.7431891891,1659064.7573283124,1659068.5967241595
1258,661266.4071230169,661266.420429524,661270.0354753808
20677,1704485.333875968,1704485.3449176238,1704488.3434749085
6449,891564.5568547936,891564.5696685542,891568.0502521377
3860,1563874.853776802,1563874.869241028,1563879.0683968705
29991,1715379.4324450458,1715379.4435382844,1715382.4560908687
14552,1942879.095107676,1942879.1067693848,1942882.2735065534
18781,1939260.831207457,1939260.8422279935,1939263.8349181532
14283,4059976.3607688793,4059976.372921016,4059979.672286899
26787,179353.0836174745,179353.09710296392,179356.76813025193
22467,5733303.3674368765,5733303.3829661105,5733307.59895148
25797,2197510.5075569088,2197510.520601875,2197514.062719044
3057,559395.932438713,559395.9471872798,559399.9541270752
32045,1313328.024625144,1313328.0372685944,1313331.4709584978
5558,250431.85335910902,250431.86453374472,250434.90561435264
12161,1200975.9571859406,1200975.9721888711,1200980.046470927
15813,341922.9892530959,341923.0025803513,341926.625838046
19744,2540893.1850006185,2540893.1974137365,2540896.5678987633
3944,534632.2383560028,534632.2506604323,534635.5943836883
19226,2020473.6747754521,2020473.6896749595,2020477.7352836167
