la,ld,nf,nd,ns,ent,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,arexp,rrexp,asexp,rsexp,asawr,rsawr
9,9,3,1,1,0.9057125980138372,2.0,153834.0,5.0,0,12.0,703740.3333333335,13.0,3.0,7.0,83.0,7.0,82.0,7.0,72.0,0.027777777777777776,0.2534722222222222
275,242,8,5,1,0.5832156330277793,3.0,149449.0,6.0,0,25.0,8431.0,82.0,2.0,35.0,273.0,34.0,272.0,32.0,196.0,0.11418685121107268,0.6816608996539792
2,4,1,1,1,0.0,1.0,102656.0,2.0,0,4.0,707263.0,6.0,2.0,96.0,105.0,96.0,105.0,64.0,101.0,0.2241379310344828,0.3517241379310345
25,0,2,2,1,0.4021791902022728,2.0,3105958.0,5.0,0,23.0,44478.0,74.0,5.0,98.0,166.0,98.0,166.0,66.0,130.0,0.2302405498281787,0.4501718213058419
19,1,2,2,1,0.6098403047164004,2.0,1995910.0,5.0,0,18.0,686083.0,26.0,3.0,99.0,186.0,99.0,186.0,67.0,150.0,0.2328767123287671,0.5171232876712328
47,2,3,2,1,0.5034126981104403,11.0,1889945.0,9.0,0,2.0,0.0,2.0,2.0,3.0,132.0,2.0,131.0,1.0,96.0,0.006802721088435374,0.3299319727891156
288,100,11,7,2,0.6483611699796322,11.0,1889401.0,20.0,0,30.0,10058.5,53.0,2.0,2.0,131.0,2.0,131.0,0.0,95.0,0.0034129692832764505,0.32764505119453924
29,26,1,1,1,0.0,3.0,164112.0,7.0,0,12.0,732240.0,19.0,3.0,8.0,282.0,8.0,281.0,8.0,204.0,0.030508474576271188,0.6949152542372882
12,5,2,2,1,0.6722948170756379,4.0,416504.0,5.0,0,15.0,186967.0,24.0,4.0,11.0,59.0,11.0,59.0,9.0,55.0,0.03378378378378378,0.1891891891891892
3,1,1,1,1,0.0,3.0,159619.0,5.0,0,4.0,81016.0,5.0,2.0,0.0,39.0,0.0,39.0,0.0,18.0,0.0033670033670033673,0.06397306397306397
76,120,1,1,1,0.0,5.0,-47338873.0,5.0,0,11.0,164411.0,12.0,2.0,37.0,16.0,37.0,16.0,2.0,3.0,0.2307692307692308,0.3076923076923077
11,10,6,5,1,0.9115685036857714,1.0,2702.0,3.0,0,28.0,31422.0,94.0,3.0,61.0,207.0,61.0,207.0,51.0,159.0,0.17449664429530198,0.5369127516778524
1776,1190,19,6,1,0.6231524419658165,6.0,-49539638.0,6.0,0,2.0,1416186.3157894737,5.0,1.0,7.0,17.0,7.0,17.0,3.0,10.0,0.2,0.55
19,1,2,2,1,0.9709505944546686,1.0,11457.0,4.0,0,1.0,1442068.0,3.0,3.0,103.0,286.0,103.0,285.0,70.0,196.0,0.2374581939799331,0.6588628762541806
6,2,1,1,1,0.0,3.0,359847.0,3.0,0,2.0,2232771.0,2.0,2.0,1.0,146.0,1.0,146.0,1.0,103.0,0.006666666666666667,0.3466666666666667
272,309,2,2,1,0.15457665940367926,1.0,15468.0,2.0,0,21.0,68957.0,78.0,2.0,27.0,267.0,27.0,266.0,26.0,186.0,0.08970099667774087,0.6212624584717608
63,76,3,2,1,0.3175975731748472,1.0,10381.0,2.0,0,25.0,17400.0,90.0,2.0,28.0,268.0,28.0,267.0,27.0,187.0,0.09271523178807947,0.6225165562913907
617,0,8,6,1,0.7322466060162176,21.0,662119.0,51.0,0,27.0,410863.875,44.0,4.0,22.0,161.0,22.0,161.0,19.0,102.0,0.06600660066006599,0.33993399339933994
0,2,1,1,1,0.0,1.0,27213.0,3.0,0,11.0,37926.0,12.0,3.0,102.0,59.0,102.0,59.0,70.0,44.0,0.23355263157894735,0.14802631578947367
46,2,3,3,1,0.9553269964118282,4.0,980963.0,21.0,0,25.0,159501.0,33.0,4.0,4.0,224.0,4.0,224.0,4.0,162.0,0.016393442622950817,0.5344262295081967
1,1,1,1,1,0.0,3.0,2926394.0,10.0,0,4.0,163239.0,5.0,4.0,103.0,192.0,103.0,192.0,71.0,128.0,0.2352941176470588,0.4215686274509804
1,1,1,1,1,0.0,1.0,11576.0,4.0,0,21.0,64896.0,46.0,4.0,36.0,272.0,35.0,271.0,33.0,192.0,0.11074918566775244,0.6286644951140065
35,13,6,5,1,0.7412317747915175,1.0,267903.0,3.0,0,29.0,11880.0,52.0,2.0,30.0,262.0,30.0,261.0,29.0,187.0,0.0974025974025974,0.6103896103896104
